2017-06-14 11:26:48,151 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2017-06-14 11:26:48,154 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2017-06-14 11:26:48,155 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2017-06-14 11:33:08,760 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RHBI:RHBI:1.0 @ D:\RHB\RHB W2\pom.xml.
2017-06-14 11:33:14,841 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:33:14,904 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:33:16,716 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RHBI/src/main/java
2017-06-14 11:33:16,717 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RHBI/src/main/resources
2017-06-14 11:33:16,717 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RHBI:RHBI:1.0 @ D:\RHB\RHB W2\pom.xml.
2017-06-14 11:33:16,718 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RHBI/src/test/java
2017-06-14 11:33:16,718 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RHBI/src/test/resources
2017-06-14 11:33:17,440 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:33:17,450 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:33:25,280 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 19 sec
2017-06-14 11:33:25,694 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-14 11:33:25,694 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-06-14 11:33:26,776 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RHBI:RHBI:1.0 @ D:\RHB\RHB W2\pom.xml.
2017-06-14 11:33:27,349 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:33:27,387 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:33:53,156 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: RHBI:RHBI:1.0 @ D:\RHB\RHB W2\pom.xml.
2017-06-14 11:33:53,977 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:33:53,991 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.metro:webservices-rt:jar:2.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2017-06-14 11:33:59,842 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.xml.ws:jaxws-rt:jar:2.2.8 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
