127.0.0.1 - - [12/Oct/2017:15:29:52 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:25 +0530] "GET /RHBI/admin/ HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:25 +0530] "GET /RHBI/logout?sessionExpired=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/admin/ HTTP/1.1" 200 12652
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/owl.theme.css HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/pe-icon-7-stroke.css HTTP/1.1" 200 7039
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/bootstrap.min.css HTTP/1.1" 200 119206
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/font-awesome.min.css HTTP/1.1" 200 26715
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/owl.carousel.css HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/custom.css HTTP/1.1" 200 12234
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/animate.css HTTP/1.1" 200 75926
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/layout/alert/sweet-alert.css HTTP/1.1" 200 8982
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/box-css.css HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/css/css-index.css HTTP/1.1" 200 30460
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/app/jquery.alerts.js HTTP/1.1" 200 8320
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/js/bootstrap.min.js HTTP/1.1" 200 28930
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/js/jquery.sticky.js HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/js/jquery.js HTTP/1.1" 200 92985
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/js/custom.js HTTP/1.1" 200 3271
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/images/admin-bg.jpg HTTP/1.1" 200 274478
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/app/accountlock.js HTTP/1.1" 200 5319
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/layout/alert/sweet-alert.min.js HTTP/1.1" 200 17666
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/layout/booty-toggle/bootstrap-toggle.min.js HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/images/right_arrow.png HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/images/logonew.png HTTP/1.1" 200 20265
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/login/js/owl.carousel.min.js HTTP/1.1" 200 37253
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:26 +0530] "GET /RHBI/getAgentLogoutInd HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:29 +0530] "GET /RHBI/validateLoginSession HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "GET /RHBI/angularmain/bootstrap.min.js?reload=Math.random(); HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "GET /RHBI/angularmain/jquery.min.js?reload=Math.random(); HTTP/1.1" 200 84384
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "GET /RHBI/angularmain/angular.min.js?reload=Math.random(); HTTP/1.1" 200 156553
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "GET /RHBI/angularmain/ngStorage.min.js?reload=Math.random(); HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "GET /RHBI/layout/bootstrap/js/bootstrap-datepicker.min.js?reload=Math.random(); HTTP/1.1" 200 49798
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "POST /RHBI/admin/ HTTP/1.1" 200 134725
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "GET /RHBI/angularmain/jquery.marquee.min.js?reload=Math.random(); HTTP/1.1" 200 5638
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "GET /RHBI/angularmain/angular-route.min.js?reload=Math.random(); HTTP/1.1" 200 4403
0:0:0:0:0:0:0:1 - - [12/Oct/2017:15:30:33 +0530] "GET /RHBI/angularmain/angular-ui-router.min.js?reload=Math.random(); HTTP/1.1" 200 30445
