127.0.0.1 - - [19/Dec/2017:14:20:01 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:38 +0530] "GET /AngularJS/ HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:39 +0530] "GET /AngularJS/resources/js/main/angular.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:39 +0530] "GET /AngularJS/resources/js/main/angular-route.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/ngStorage.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/bootstrap.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/angular-ui-router.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/jquery.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/angular-sanitize.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/css/ui-grid/ui-grid.min.css HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/ui-grid/vfs_fonts.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/angular-local-storage.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/css/bootstrap.min.css HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/app.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/ui-grid/ui-grid.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:40 +0530] "GET /AngularJS/resources/js/main/bootstrap.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/js/main/ngStorage.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/js/main/angular-ui-router.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/js/main/ui-grid/ui-grid.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/js/main/ui-grid/vfs_fonts.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/js/main/angular-sanitize.min.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/js/main/angular-local-storage.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/css/bootstrap.min.css HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/css/ui-grid/ui-grid.min.css HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:41 +0530] "GET /AngularJS/resources/js/app.js HTTP/1.1" 500 9195
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:43 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Dec/2017:14:20:43 +0530] "GET /favicon.ico HTTP/1.1" 404 973
